event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
1780,107,M'gladbach,home, 71 ,Goal, Marcus Thuram , Alassane Plea 
1781,107,Hoffenheim,away, 75 ,Yellow card, Kevin Vogt ,
1782,107,M'gladbach,home, 78 ,Goal, Nico Elvedi , Alassane Plea 
1783,107,Hoffenheim,away, 80 ,Substitution, Sebastian Rudy , Andrej Kramarić 
1784,107,Hoffenheim,away, 80 ,Substitution, Muhammed Damar , Christoph Baumgartner 
1785,107,M'gladbach,home, 84 ,Substitution, Stefan Lainer , Joe Scally 
1786,107,M'gladbach,home, 89 ,Substitution, Patrick Herrmann , Jonas Hofmann 
1787,108,1. FC Union Berlin,home, 31 ,Goal, Jordan Siebatcheu , Sheraldo Becker 
1788,108,1. FC Union Berlin,home, 35 ,Yellow card, Robin Knoche ,
1789,108,1. FC Union Berlin,home, 50 ,Goal, Sheraldo Becker , Janik Haberer 
1790,108,Hertha BSC,away, 52 ,Yellow card, Filip Uremović ,
1791,108,1. FC Union Berlin,home, 54 ,Goal, Robin Knoche , Christopher Trimmel 
1792,108,Hertha BSC,away, 56 ,Substitution, Stevan Jovetic , Myziane Maolida 
1793,108,Hertha BSC,away, 56 ,Substitution, Chidera Ejuke , Kevin Boateng 
1794,108,Hertha BSC,away, 56 ,Substitution, Wilfried Kanga , Davie Selke 
1795,108,1. FC Union Berlin,home, 64 ,Substitution, Niko Gießelmann , Julian Ryerson 
1796,108,1. FC Union Berlin,home, 70 ,Substitution, András Schäfer , Janik Haberer 
1797,108,1. FC Union Berlin,home, 71 ,Substitution, Jamie Leweling , Sheraldo Becker 
1798,108,Hertha BSC,away, 77 ,Yellow card, Ivan Šunjić ,
1799,108,1. FC Union Berlin,home, 78 ,Substitution, Kevin Behrens , Jordan Siebatcheu 
1800,108,1. FC Union Berlin,home, 78 ,Substitution, Milos Pantović , Genki Haraguchi 
1801,108,Hertha BSC,away, 80 ,Substitution, Vladimir Darida , Ivan Šunjić 
1802,108,Hertha BSC,away, 85 ,Goal, Dodi Lukebakio , Stevan Jovetic 
1803,108,Hertha BSC,away, 87 ,Yellow card, Dodi Lukebakio ,
1804,108,1. FC Union Berlin,home, 93 ,Yellow card, Jamie Leweling ,
1805,109,Bayern Munich,away, 5 ,Goal, Joshua Kimmich ,
1806,109,Bayern Munich,away, 10 ,Goal, Benjamin Pavard ,
1807,109,Bayern Munich,away, 29 ,Goal, Sadio Mané , Serge Gnabry 
1808,109,Bayern Munich,away, 35 ,Goal, Jamal Musiala , Thomas Müller 
1809,109,Bayern Munich,away, 43 ,Goal, Serge Gnabry , Thomas Müller 
1810,109,Eintracht Frankfurt,home, 45 ,Substitution, Christopher Lenz , Jesper Lindstrøm 
1811,109,Eintracht Frankfurt,home, 45 ,Substitution, Kristijan Jakić , Sebastian Rode 
1812,109,Eintracht Frankfurt,home, 45 ,Substitution, Randal Kolo Muani , Rafael Borré 
1813,109,Bayern Munich,away, 57 ,Substitution, Ryan Gravenberch , Marcel Sabitzer 
1814,109,Eintracht Frankfurt,home, 59 ,Yellow card, Evan Ndicka ,
1815,109,Eintracht Frankfurt,home, 64 ,Goal, Randal Kolo Muani ,
1816,109,Bayern Munich,away, 65 ,Substitution, Mathys Tel , Serge Gnabry 
1817,109,Bayern Munich,away, 65 ,Substitution, Leroy Sané , Thomas Müller 
1818,109,Eintracht Frankfurt,home, 71 ,Yellow card, Filip Kostić ,
1819,109,Eintracht Frankfurt,home, 74 ,Substitution, Faride Alidou , Filip Kostić 
1820,109,Eintracht Frankfurt,home, 81 ,Substitution, Makoto Hasebe , Tuta 
1821,109,Bayern Munich,away, 82 ,Substitution, Matthijs de Ligt , Lucas Hernandez 
1822,109,Bayern Munich,away, 82 ,Substitution, Noussair Mazraoui , Benjamin Pavard 
1823,109,Bayern Munich,away, 83 ,Goal, Jamal Musiala , Leroy Sané 
